--------- beginning of main
06-01 10:09:48.452 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.487 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.524 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.562 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.597 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.633 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.673 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.708 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.743 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.792 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.829 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.865 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.904 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.940 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:48.978 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.013 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.049 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.087 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.122 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.157 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.192 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.229 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.266 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.302 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.340 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.381 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.417 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.452 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.489 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.524 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.558 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.595 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.630 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.668 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.704 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.739 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.777 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.814 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.849 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.884 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.919 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.956 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:49.993 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.027 V/GeospatialService( 5183): Camera 상태: PAUSED
